Informe de palabras clave de búsqueda,,,,,,,,,,,,,,,,
7 de abril de 2026 - 23 de abril de 2026,,,,,,,,,,,,,,,,
Estado de las palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,CTR,Código de moneda,Coste,Clics,Tasa de conv.,Conversiones,CPC medio,Coste/conv.
Habilitado,[asesoría fiscal pymes],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoría fiscal para empresas],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoría fiscal y contable],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,16,"12,5%",EUR,"2,8",2,0%,0,"1,4",0
Habilitado,"""gestoría para pymes España""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesor fiscal para pymes],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""departamento fiscal externo""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoria contable],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Limitado,baja calidad,,3,0%,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría fiscal estratégica empresa""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría integral pymes""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,89,"7,87%",EUR,"7,71",7,0%,0,"1,1",0
Habilitado,[asesoria de empresas],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Limitado,baja calidad,,4,0%,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría fiscal empresas pequeñas""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[contratar asesoría fiscal empresa],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría fiscal para autónomos online""",Concordancia de frase,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,Apto,,,34,0%,EUR,0,0,0%,0,0,0
Habilitado,"""mejor asesoría fiscal autónomos""",Concordancia de frase,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[gestoría para autónomos],Concordancia exacta,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,Apto,,,26,"15,38%",EUR,"7,98",4,0%,0,2,0
Habilitado,"""asesoría online para autónomos""",Concordancia de frase,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,Apto,,,359,"1,95%",EUR,"15,25",7,0%,0,"2,18",0
Habilitado,"""asesoría fiscal autónomos España""",Concordancia de frase,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,Apto,,,177,"13,56%",EUR,"37,55",24,25%,6,"1,56","6,26"
Habilitado,[asesoría fiscal autónomos],Concordancia exacta,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesor fiscal para autónomos],Concordancia exacta,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""asesor fiscal autónomos personalizado""",Concordancia de frase,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoría fiscal freelance],Concordancia exacta,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[contratar asesor fiscal autónomo],Concordancia exacta,TF | Search | Asesoría Fiscal,G1- Asesoría Autonomos,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría fiscal con reuniones""",Concordancia de frase,TF | Search | Asesoría Fiscal,AG3 | Asesoría Premium Boutique,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría fiscal proactiva""",Concordancia de frase,TF | Search | Asesoría Fiscal,AG3 | Asesoría Premium Boutique,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría fiscal con seguimiento""",Concordancia de frase,TF | Search | Asesoría Fiscal,AG3 | Asesoría Premium Boutique,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoría fiscal premium],Concordancia exacta,TF | Search | Asesoría Fiscal,AG3 | Asesoría Premium Boutique,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoría fiscal boutique],Concordancia exacta,TF | Search | Asesoría Fiscal,AG3 | Asesoría Premium Boutique,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoría fiscal personalizada],Concordancia exacta,TF | Search | Asesoría Fiscal,AG3 | Asesoría Premium Boutique,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""asesor fiscal personal""",Concordancia de frase,TF | Search | Asesoría Fiscal,AG3 | Asesoría Premium Boutique,Apto,,,792,"10,48%",EUR,"94,17",83,"8,43%",7,"1,13","13,45"
Habilitado,[asesor fiscal dedicado],Concordancia exacta,TF | Search | Asesoría Fiscal,AG3 | Asesoría Premium Boutique,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""cambiar gestoría online""",Concordancia de frase,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[cambiar asesoría fiscal],Concordancia exacta,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""quiero cambiar de gestoría""",Concordancia de frase,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,Apto,,,153,"10,46%",EUR,"53,51",16,"18,75%",3,"3,34","17,84"
Habilitado,"""traspaso de gestoría""",Concordancia de frase,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,Apto,,,314,"6,69%",EUR,"58,5",21,0%,0,"2,79",0
Habilitado,"""mi gestoría no responde""",Concordancia de frase,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""no estoy contento con mi gestor""",Concordancia de frase,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""cómo cambiar de asesor fiscal""",Concordancia de frase,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[cambiar de asesor fiscal],Concordancia exacta,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[cambiar de gestoría],Concordancia exacta,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,Apto,,,64,"4,69%",EUR,"6,18",3,0%,0,"2,06",0
Habilitado,"""busco mejor asesor fiscal""",Concordancia de frase,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""dejar mi gestoría""",Concordancia de frase,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""mi gestor no me responde""",Concordancia de frase,TF | Search | Cambiar de Gestoría,Grupo de anuncios 1,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
--,,Total: Todas las palabras clave excepto las retiradas,--,--,--,,,2031,"8,22%",EUR,"283,65",167,"9,58%",16,"1,7","17,73"
,,Total: Palabras clave de tu cuenta,,,,,,2031,"8,22%",EUR,"283,65",167,"9,58%",16,"1,7","17,73"
,,Total: Tus palabras clave,,,,,,2031,"8,22%",EUR,"283,65",167,"9,58%",16,"1,7","17,73"
,,Total: Concordancias ampliadas de AI Max,,,,,,0,--,EUR,0,0,0%,0,0,0
,,Total: Coincidencias de página de destino de AI Max,,,,,,0,--,EUR,0,0,0%,0,0,0
,,Total: Inclusiones de URLs de tu cuenta,,,,,,0,--,EUR,0,0,0%,0,0,0
,,Total: Cuenta,,,,,,2031,"8,22%",EUR,"283,65",167,"9,58%",16,"1,7","17,73"
,,Total: Buscar,,,,,,2031,"8,22%",EUR,"283,65",167,"9,58%",16,"1,7","17,73"